URL ,Apartment Name,Address,City,Units
https://www.equityapartments.com/boston/west-end/alcott-apartments,Alcott Apartments,"35 Lomasney Way

Boston MA 02114",Boston,248
https://www.equityapartments.com/boston/north-end/avenir-apartments,Avenir Apartments,"101 Canal St.

Boston MA 02114",Boston,241
https://www.equityapartments.com/boston/west-end/the-towers-at-longfellow-apartments,The Towers at Longfellow Apartments,"72 Staniford St.

Boston MA 02114",Boston,585
https://www.equityapartments.com/boston/west-end/the-west-end-apartments-asteria-villas-and-vesta,"
The West End Apartments - Asteria, Villas and Vesta","4 Emerson Place

Boston MA 02114",Boston,310
https://www.equityapartments.com/boston/west-end/emerson-place-apartments,Emerson Place Apartments,"1 Emerson Place Suite 8N

Boston MA 02114",Boston,444
https://www.equityapartments.com/boston/financial-district/one-india-st-apartments,One India Street Apartments,"1 India St

Boston MA 02109",Boston,94
https://www.equityapartments.com/boston/boston-common/660-washington-apartments,660 Washington Apartments,"660 Washington St.

Boston MA 02111",Boston,420
https://www.equityapartments.com/boston/kendall-square/lofts-at-kendall-square-apartments,"
Lofts at Kendall Square Apartments","249 Third St.

Cambridge MA",Boston,186
https://www.equityapartments.com/boston/fort-point/315-on-a-apartments,"
315 on A Apartments","315 A Street

Boston MA 02210",Boston,202
https://www.equityapartments.com/boston/kendall-square/third-square-apartments,"
Third Square Apartments","285 Third Street

Cambridge MA 02142",Boston,292
https://www.equityapartments.com/boston/south-end/troy-boston-apartments,Troy Boston Apartments,"55 Traveler St.

Boston MA 02118",Boston,378
https://www.equityapartments.com/boston/south-end/girard-apartments,"
Girard Apartments","50 Malden St

Boston MA 02118",Boston,160
https://www.equityapartments.com/boston/central-square/church-corner-apartments,"
Church Corner Apartments","10 Magazine Street

Cambridge MA 02139",Boston,85
https://www.equityapartments.com/boston/central-square/929-mass-apartments,929 Mass Apartments,"929 Massachusetts Avenue

Cambridge MA 02139",Boston,127
https://www.equityapartments.com/greater-boston/malden-center/gateway-at-malden-center-apartments,Gateway at Malden Center Apartments,"14 Summer Street

Malden MA 02148",Boston,203
